isbn;ean;title;publisher;date;seriesTitle;seriesNumber;authorSurname;AuthorName;type;totalCopies;numberCopiesAimeCesaire;numberCopiesEdmondRostand;numberCopiesJeanPierreMelville;numberCopiesOscarWilde;numberCopiesSaintSimon
2-913246-22-2;9782913246225;Le 2e arrondissement | Texte imprimé | itinéraires d'histoire et d'architecture | Action artistique de la Ville de Paris | [réd. par] Valérie Chiche;Mairie de Paris, Direction générale de l'information et de la communication;2000;;;;;Livre pour adulte;12;;;1;;1
978-2-08-124911-0;9782081249110;Méfiez-vous de la Vierge | Texte imprimé | roman | André Boris;Flammarion;impr. 2011;Vous ne croyez tout de même pas à ces bêtises ?;;Boris;André;Livre pour adulte;1;;;;;
978-2-03-585916-7;9782035859167;Phèdre | tragédie | Racine | édition présentée, annotée et commentée par Anne Régent et Laurent Susini;Larousse;2011;;;Racine;Jean;Livre jeunesse;11;;;;;
;"0794881836925;794881836925";La baleine bleue | Enregistrement sonore | Steve Waring, chant, voix, guit., bjo, p [acc. voc. et instr.];"le Chant du monde;distrib. Harmonia mundi distribution";[DL 2009];;;Waring;Steve;Enregistrement musical pour la jeunesse;6;;;;;
978-2-8001-4850-2;9782800148502;Salvatore | Texte imprimé | Nicolas de Crécy;Dupuis;DL 2010;;;Crécy;Nicolas de;Bande dessinée pour adulte;1;;;;;
978-3-468-47201-5;;Berliner Platz 1 Neu | Multimédia multisupport | Deutsch im Alltag Lehhr und Arbeitsbuch | von Christiane Lemcke, Lutz Rohrmann, Theo Scherling  | in Zusammenarbeit mit Anne Koker;Langenscheidt;2009;;;Lemcke;Christiane;Méthode de langue;1;;;;;
;743218281297;Roy Orbison  | Images animées | Tony Mitchell, réal | Roy Orbison, mus., chant, guitare | Jackson Browne, T-Bone Burnett, Elvis Costello... [et al.], particip;BMG France [éd.];1999;;;Mitchell;Tony;DVD-vidéo tous publics;1;;;;;
978-2-7186-0842-6;9782718608426;La soeur du petit Hans | Texte imprimé | récit | Claude Louis-Combet | dessins de Vladimir Veli?kovi?;Galilée;impr. 2011;;;Louis-Combet;Claude;Livre pour adulte;3;;;;;
978-2-35608-032-5;9782356080325;La signature | Texte imprimé | Allain Glycos;l'Escampette;impr. 2011;;;Glycos;Allain;Livre pour adulte;3;;;;;
978-2-7144-4791-3;9782714447913;Captif | Texte imprimé | Neil Cross | traduit de l'anglais par Renaud Morin;Belfond;impr. 2011;;;Cross;Neil;Livre pour adulte;6;;;1;;
978-2-213-63110-3;9782213631103;"Tristan Corbière | Texte imprimé | ""une vie à-peu-près"" | Jean-Luc Steinmetz";Fayard;impr. 2011;;;Steinmetz;Jean-Luc;Livre pour adulte;3;;;;;
978-2-213-63271-1;9782213632711;Philosophie de la réalité | Texte imprimé | critique du réalisme | Jean-François Kahn;Fayard;impr. 2011;;;Kahn;Jean-François;Livre pour adulte;7;;;;1;
;"0794881944521;794881944521";Deutsche barocklieder : German baroque songs, Lieder baroques allemands | Enregistrement sonore | Andreas Scholl | Andreas Scholl, contre-ténor;Harmonia Mundi;2010;;;Scholl;Andréas;Disque compact;3;;;;;
978-1-74104-673-1;9781741046731;New York, New Jersey & Pennsylvania | sous la direction de Jeff Campbell | Sarah Chandler, Bridget Gleeson, David Ozanich;Lonely planet;2011;;;;;Livre de Fonds spécialisés;1;;;;;
978-2-212-54992-8;9782212549928;La géopolitique | Texte imprimé | les relations internationales | Pascal Boniface;"IRIS;Eyrolles";DL 2011;;;Boniface;Pascal;Livre pour adulte;11;;;1;1;1
;;Good-bye Peter Lorre | Enregistrement sonore;Wotre Music Distrib;1991;;;Westbrook;Kate;Disque compact;1;;;;;
978-2-8180-1388-5;9782818013885;Le voyage à Blue Gap | Texte imprimé | Patrice Robin;POL;impr. 2011;;;Robin;Patrice;Livre pour adulte;8;;;;;
978-2-7144-4833-0;9782714448330;Le cri du goéland | Gilbert Bordes;Belfond;2011;;;Bordes;Gilbert;Livre pour adulte;13;;1;1;1;
978-2-36270-028-6;9782362700286;Abraham Lincoln chasseur de vampires | Texte imprimé | Seth Grahame-Smith | traduit de l'anglais (États-Unis) par Morgane Munns;Éclipse;DL 2011;;;Grahame-Smith;Seth;Livre pour adulte;14;;1;1;;
;0886976181994;AC-DC live at River Plate | Images animées | David Mallet, réal. | AC-DC, groupe voc. et instr.;Sony music [éd.];2011;;;;;DVD-vidéo tous publics;1;;;;;
;0029667021821;The very best of the country years | Enregistrement sonore | Wanda Jackson;Socadisc;2006;;;Jackson;Wanda;Disque compact;1;;;;;
2-7081-2227-4;;Manager les hommes | Texte imprimé | manuel de GRH à l'usage des opérationnels | Jean-Louis Viargues;Éd. d'Organisation;1999;;;Viargues;Jean-Louis;Livre pour adulte;1;;;;;
;7619918087923;Afrique du Sud | Enregistrement sonore | chant des femmes Xhosa | David Dargie, collecteur | the Ngqoko women's ensemble;VDE-Gallo;P 1996;;;;;Disque compact;1;;;;;
84-322-1178-8;;Ventanas de Manhattan | Texte imprimé | Antonio Muñoz Molina;Seix Barral;2004;;;Muñoz Molina;Antonio;Livre en langue étrangère;2;;;;;
;3760009292420;Harmonies poétiques & religieuses | Enregistrement sonore | Sonate en si mineur | Franz Liszt, comp. | François-Frederic Guy, piano;Harmonia Mundi;2011;;;Liszt;Franz;Disque compact;10;;;;1;
;3700246904519;Farid Al Atrache  | images animées | Simone Bitton, réal.  | Sapho, voix | Farid Al-Atrache, chant;P.o.m. films [éd.];2011;;;;;DVD-vidéo tous publics;4;;1;;;
978-84-663-2055-9;;El sol de Breda | Texte imprimé | Arturo Perez-Reverte;Punto de lectura;2008;;;Pérez-Reverte;Arturo;Livre en langue étrangère;1;;;;;
2-220-03635-9;;Une éthique pour la mort | Texte imprimé | Maurice Abiven | préf. du Pr Bernard Hoerni;Desclée de Brouwer;1995;;;Abiven;Maurice;Livre pour adulte;2;;;1;;
;9782866262914;Côté coulisses avec Les Noces de Figaro | Images animées | Jean Soulet, réal., concept. | Mariannick Attali, Claude cardonnet, Sylvie Casanova-Karsenty... [et al.], concept. | Wolfgang Amadeus Mozart, comp.;SCEREN-CRDP [éd.];2007;;;;;DVD jeunesse;1;;;;;
978-84-8470-318-1;;Rafara | Texte imprimé | un cuento popular africano | ilustrado por Anne-Catherine De Boel;Corimbo;2008;;;Ros;Rafael;Livre en langue étrangère;1;;;;;
978-2-36013-014-6;9782360130146;Rome au Moyen âge | Texte imprimé | sous la direction d'André Vauchez | [avec les contributions de] Giulia Barone, Martine Boiteux, Sandro Carocci... [et al.] | textes en italien traduits par Céline Delorge;Riveneuve éd.;impr. 2010;;;;;Livre pour adulte;2;;;;;
9787534247323;;Baogong duan an | texte imprimé | An Yushi | Qi yi bao tong shu, tu wen;Zhejiang shao nian er tong, impr.;2008;;;An;Yushi;Livre jeunesse;1;;;1;;
978-2-299-00136-4;9782299001364;Tricot facile en 20 leçons | Texte imprimé | Erika Knight;le Temps apprivoisé;impr. 2010;;;Knight;Erika;Livre pour adulte;2;;;;;
978-2-916120-23-2;9782916120232;Du signe au discours | Texte imprimé | psychanalyse et théories du langage | André Green | préface de Fernando Urribarri;Ithaque;impr. 2011;;;Green;André;Livre pour adulte;1;;;;;
978-2-218-94931-9;9782218949319;Tout savoir 4e | Christine Formond, Raja Siblini, Françoise Sutour et al.;Hatier;2011;;;;;Livre jeunesse;3;;;;;
978-2-84368-078-6;9782843680786;L'Armée du salut | Texte imprimé | ouvrage collectif | texte, Anne-Marie Balenbois | illustrations, Pascale Collange;NANÉditions;impr. 2010;;;Balenbois;Anne-Marie;Livre jeunesse;1;;;;;
978-2-07-063844-4;9782070638444;Le cinéma | Texte imprimé | Jean-Michel Billioud;Gallimard jeunesse;DL 2011;;;Billioud;Jean-Michel;Livre jeunesse;12;1;1;;;
978-2-07-063711-9;9782070637119;Mon imagier de la musique | Multimédia multisupport | imaginé par Judith Birnbaum | mis en musique par Coralie Fayolle | illustré par Anouk Ricard;Gallimard Jeunesse;2011;;;Birnbaum;Judith;Enregistrement musical pour la jeunesse;35;;1;3;;
978-2-7470-3520-0;9782747035200;La passion de la danse | Texte imprimé | Marie-Valentine Chaudon;Bayard jeunesse;DL 2011;;;Chaudon;Marie-Valentine;Livre jeunesse;31;1;1;1;;1
978-2-7459-4414-6;9782745944146;Le poney-club | Texte imprimé | texte de Florence Toubon | illustrations de Danièle Schulthess;Milan jeunesse;DL 2010;;;Toubon;Florence;Livre jeunesse;4;;;1;;
978-2-35021-246-3;9782350212463;La sorcellerie Vivaldi | Multimédia multisupport | Béatrice Fontanel | Antonio Vivaldi, comp.;Naïve;cop. 2011;;;;;Livre sonore jeunesse;5;;;;;
978-2-7427-8500-1;9782742785001;Abd el-Kader | Texte imprimé | non à la colonisation | Kebir-Mustapha Ammi;Actes Sud junior;impr. 2011;;;Ammi;Kebir Mustapha;Livre jeunesse;4;;;;;
978-2-918145-20-2;9782918145202;En route pour le Midi-Pyrénées | Texte imprimé | Aveyron, Tarn, Haute-Garonne;Itak éd.;DL 2011;;;;;Livre jeunesse;22;;;1;;
978-2-918861-03-4;9782918861034;Mon carnet de voyage en Irlande | Texte imprimé | [texte d'Aurore Finlay] | [illustrations d'Églantine Bonetto];Sikanmar;DL 2011;;;Finlay;Aurore;Livre jeunesse;1;;;;;
978-2-35504-158-7;9782355041587;Wangari Maathai | Texte imprimé | la femme qui plante des millions d'arbres | textes de Franck Prévot | images d'Aurélia Fronty;Rue du monde;impr. 2011;;;Prévot;Franck;Livre jeunesse;29;1;;1;;
2-7470-1789-3;9782747017893;Le baptême de l'air | Texte imprimé | une histoire écrite par Françoise Clairet | illustrée par Stanislas Barthélémy | et mise en couleurs par Dominique Thomas;Bayard poche;impr. 2005;;;Clairet;Françoise;Livre jeunesse;1;;;;;
978-2-7573-0423-5;9782757304235;Épreuve orale du concours aide-soignant avec vidéos d'entraînement | Multimédia multisupport | Catherine Guilbert-Laval;Éd. Lamarre;impr. 2010;;;Guilbert-Laval;Catherine;Livre de Fonds spécialisés;1;;;;;
978-2-273-01007-8;9782273010078;Les métiers auprès des animaux | Texte imprimé | ONISEP;ONISEP;DL 2011;;;;;Livre jeunesse;1;;;;;
978-2-7424-2791-8;9782742427918;Athènes;Gallimard loisirs;2011;;;;;Livre pour adulte;1;;;;;
978-1-78038-102-2;;"Play piano with... Adele | Musique imprimée | authentic piano transcriptions for eight songs. Includes vocal line, full lyrics and guitar chord boxes plus... CD with ""soundalike"" backing tracks and full demonstration performances";Wise;2011;;;;;Partition;1;;;;;
9787535830364;;Qin qin xiong mei mei | Texte imprimé | Ursel Scheffler, zhu | Ulises Wensell, hui | Xu Shen, yi;Hunan shao nian er tong chu ban she, impr.,;2006;;;Scheffler;Ursel;Livre en langue étrangère;1;;;;;
9789577459114;;Gu shi wu de gu shi | Texte imprimé | Zhang Daguan | Yue Xuan;Ge lin wen hua chu ban, impr.;2006;;;Zhang;Daguang;Livre en langue étrangère;1;;;1;;
978-2-26702119-6;9782267021196;Le métro blanc et autres histoires | Texte imprimé | William Burroughs | traduit de l'anglais (États-Unis) par Mary Beach, Claude Pélieu-Washburn et Gérard-Georges Lemaire;C. Bourgois;DL 2010;;;Burroughs;William Seward;Livre pour adulte;2;;;;;
978-2-84362-440-7;9782843624407;Un poète dans la tourmente | Texte imprimé | W. B. Yeats et la révolution irlandaise | Pierre Joannon;Terre de brume;2010;;;Joannon;Pierre;Livre pour adulte;1;;;;;
9782206016184;9782206016184;Sciences de l'ingénieur, bac S | Texte imprimé | annales corrigées 2011 | avec la collaboration de J.-L. Péron et O. Sala;Delagrave;2010;;;Péron;Jean-Luc;Livre de Fonds spécialisés;1;;;;;
